@relation C:\Users\Mayumi\Dropbox\Faculdade\TCC\2014\Implementação\TCC\RGBcomFundo.arff
@attribute media_r real
@attribute media_g real
@attribute media_b real
@attribute media_cinza real
@attribute variancia_r real
@attribute variancia_g real
@attribute variancia_b real
@attribute variancia_cinza real
@attribute desvio_padrao_r real
@attribute desvio_padrao_g real
@attribute desvio_padrao_b real
@attribute desvio_padrao_cinza real
@attribute classes{1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0}
@data
177.0,206.0,135.0,172.0,4902.772922222222,2074.32295,11707.421283333333,5515.759394444444,70.01980378594489,45.54473570018823,108.20083772010886,74.26815868489298,8.0
201.0,228.0,190.0,206.0,3309.457225,1091.9202027777778,6301.591741666667,3100.035877777778,57.52788215291782,33.04421587476056,79.38256572867034,55.677965819323695,8.0
195.0,212.0,176.0,194.0,5539.284586708499,3042.8055679518216,9778.576345220225,5767.778070780424,74.42637023735941,55.16163130248979,98.88668436761455,75.9458890973068,8.0
240.0,236.0,195.0,224.0,758.9563916666667,1097.7444777777778,9640.235197222222,2661.841066666667,27.5491631754336,33.13222717804793,98.18469940485748,51.59303312140765,14.0
225.0,232.0,216.0,224.0,3408.8796027777776,2011.2629277777778,5300.610027777778,3426.109838888889,58.38561126491507,44.847106124897046,72.80528846023329,58.53298077912049,15.0
198.0,182.0,190.0,190.0,6467.214972222222,10119.723780555556,8095.459355555556,8135.406377777777,80.41899633931166,100.5968378258261,89.97477066131125,90.19648761330885,15.0
231.0,233.0,190.0,218.0,1266.5582416666666,1154.2721194444443,7602.8443777777775,2645.0754305555556,35.58873756775684,33.97458048960199,87.19429097009608,51.43029681574427,15.0
225.0,223.0,212.0,220.0,4211.138147222222,4527.373716666667,7588.516047222222,5246.835272222223,64.89328275886666,67.28576161913207,87.11208898437818,72.43504174239304,1.0
238.0,231.0,214.0,228.0,1698.5542805555556,2587.3152694444443,6799.015447222222,3137.583758333333,41.21352060374794,50.865659038731074,82.45614256816906,56.01413891450384,1.0
224.0,223.0,214.0,220.0,4119.241919444445,4339.854563888889,6847.490405555555,4991.125613888888,64.18132064272629,65.87757254095577,82.74956438287488,70.64789886393571,1.0
235.0,222.0,165.0,207.0,1038.6296277777778,2063.50995,10933.32716388889,3374.111877777778,32.22777727020245,45.4258731341512,104.56255144117749,58.08710595112979,12.0
247.0,228.0,133.0,203.0,109.19154722222223,805.2142222222222,15653.240647222223,2875.5344416666667,10.449475930505903,28.3762968377169,125.11291159277776,53.62400993647031,12.0
247.0,223.0,141.0,204.0,162.71401111111112,1374.6526416666666,14976.948422222222,3074.897736111111,12.755940228423427,37.07630836082075,122.38034328364266,55.45176044194729,12.0
169.0,197.0,156.0,174.0,7619.564477777778,4049.988622222222,9540.139244444445,6765.6903555555555,87.29011672450541,63.63952091446181,97.67363638384948,82.25381666254493,8.0
156.0,182.0,123.0,153.0,8483.6714,4501.737475,13642.7865,8276.32585,92.1068477367454,67.0949884492128,116.80233944574911,90.9743142320952,8.0
193.0,206.0,166.0,188.0,5300.731383333334,3331.750377777778,10712.214719444444,6052.209130555556,72.8061218808785,57.72131649380303,103.49982956239322,77.7959454634723,8.0
241.0,207.0,203.0,217.0,811.5534972222222,7663.770652777778,8830.435494444444,4668.863116666666,28.48777803238122,87.54296461040018,93.9703969047936,68.32907958304916,13.0
232.0,180.0,181.0,198.0,1285.8487722222221,9628.549208333334,9104.44603888889,5470.6253027777775,35.85873355574932,98.12517112511618,95.41722087175296,73.963675562926,13.0
224.0,161.0,134.0,173.0,1756.6307833333333,8357.050538888889,12546.88266111111,6195.0790027777775,41.912179415216926,91.41690510452041,112.01286828356423,78.70882417351804,5.0
239.0,232.0,232.0,234.0,2220.5215083333333,4224.041066666667,4454.895966666667,3485.427416666667,47.1224098315582,64.99262317114663,66.74500705421093,59.03750855741345,4.0
242.0,219.0,216.0,225.0,702.3658888888889,5783.996655555556,6320.488591666666,3573.319411111111,26.502186492606395,76.0525913796207,79.50150056235836,59.77724827316084,4.0
235.0,233.0,232.0,233.0,3381.6447694444446,4292.409161111111,4394.1758805555555,3991.2046972222224,58.15191114180551,65.5164800726589,66.28858031784627,63.17598196484343,4.0
249.0,208.0,162.0,206.0,75.75423333333333,2471.7602888888887,9282.334975,2571.8426472222222,8.703690788012482,49.71680087142463,96.34487518804517,50.71333796174555,5.0
252.0,217.0,174.0,214.0,75.68415555555555,1860.2654277777779,8380.088211111111,2103.3602194444443,8.699664105904063,43.13079442553519,91.54282173448179,45.862405295017446,5.0
221.0,214.0,188.0,207.0,2902.0857861111112,3849.9372222222223,9687.720622222223,5060.128761111111,53.87101062826937,62.04786235014243,98.42621918077633,71.13458203371347,6.0
229.0,217.0,202.0,216.0,2126.178772222222,4217.539041666667,7895.435997222222,4401.478766666667,46.110506093755056,64.94258265319195,88.85626594237584,66.34364149386637,6.0
220.0,212.0,203.0,212.0,3405.2963083333334,5031.484608333333,7383.660302777777,5155.455780555556,58.35491674514953,70.93295854772542,85.92822762502307,71.80150263438472,6.0
239.0,216.0,164.0,206.0,2074.981783333333,2634.5985694444444,13260.296502777777,4111.153480555556,45.55196794138902,51.32834080159269,115.1533607967122,64.11827727376614,7.0
239.0,211.0,160.0,203.0,1885.8364194444443,2780.5644361111113,12332.84716388889,3746.010186111111,43.42621811123373,52.73105760470874,111.0533527809444,61.204658205982255,7.0
248.0,220.0,174.0,214.0,277.18553333333335,2911.535302777778,11856.361258333332,3251.967202777778,16.64888985288008,53.95864437490788,108.88691959245304,57.02602215460743,7.0
231.0,174.0,102.0,169.0,1719.0662583333333,5069.926244444445,14596.665105555556,5126.750113888889,41.46162392301263,71.20341455607621,120.81665905642134,71.60132759864784,7.0
211.0,171.0,165.0,182.0,2942.5223055555557,8756.998397222222,9825.1691,6647.456372222222,54.245021020878546,93.57883519911017,99.12199100098827,81.53193467729207,9.0
199.0,157.0,156.0,170.0,3731.860611111111,10751.457630555555,10394.526488888889,7633.570058333334,61.088956539714374,103.68923584710014,101.95355064385393,87.37030421335005,9.0
225.0,154.0,143.0,174.0,1329.9679583333334,7453.40235,8629.321786111112,4781.236313888889,36.46872575691854,86.33308954277034,92.89414290530438,69.14648446514752,9.0
210.0,213.0,201.0,208.0,4042.2536083333334,4040.8464555555556,5886.905969444444,4490.420983333333,63.57871977582856,63.567652588054216,76.72617525619562,67.0106035141703,10.0
248.0,216.0,167.0,210.0,162.32964722222223,2586.832211111111,12658.46786111111,3311.4795194444446,12.740865246215511,50.86091044319902,112.50985672869338,57.545456114661604,10.0
178.0,184.0,156.0,172.0,7405.176069444445,6492.995338888889,11207.322802777779,8134.909469444445,86.05333270387874,80.57912470912605,105.86464378052655,90.19373298319815,11.0
178.0,181.0,149.0,169.0,6225.131283333333,5541.923994444444,10824.570605555555,7337.969105555556,78.89950116023125,74.44409979605129,104.04119667494966,85.66194665985333,11.0
